Date,Actual,Forecast
2008-11-14,1.1262069444444445,1.3308282170429857
2008-11-15,2.105297222222222,1.55872449196346
2008-11-16,1.642661111111111,1.5906084924997423
2008-11-17,1.0580805555555555,1.3347320449817592
2008-11-18,1.2146180555555555,1.4604860337162249
2008-11-19,1.2779430555555555,1.453968682059079
2008-11-20,1.1752333333333334,1.3695952511214347
2008-11-21,1.162451388888889,1.4724292579256009
2008-11-22,1.18845,1.6790051807202881
2008-11-23,2.36645170257123,1.6889461699142045
2008-11-24,2.231248611111111,1.4110793535963613
2008-11-25,1.8769791666666666,1.5153648340680606
2008-11-26,1.0527458333333333,1.4884488264883378
2008-11-27,1.6404291666666666,1.3852587842469943
2008-11-28,1.3096972222222223,1.471321006498525
2008-11-29,1.6907416666666668,1.663571064154036
2008-11-30,1.6676305555555555,1.6619608962077286
2008-12-01,1.1225958333333332,1.375565454489621
2008-12-02,1.2454472222222222,1.4745052301166597
2008-12-03,1.218863888888889,1.4454952907366794
2008-12-04,1.2073874999999998,1.3434387873611293
2008-12-05,1.4295958333333334,1.4337454733492239
2008-12-06,1.7526638888888888,1.6331455504716526
2008-12-07,1.7130138888888888,1.6413026045547703
2008-12-08,1.297663888888889,1.3669283536713783
2008-12-09,1.3910722222222223,1.4797153253937485
2008-12-10,1.540890510948905,1.4658978195964327
2008-12-11,0.9948069444444444,1.3798587944552516
2008-12-12,1.2607875,1.4864628571577005
2008-12-13,1.3543725943033103,1.7018852830402857
